Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
YES,1-3 TIMES A MONTH,GOOD,IT’S REALLY GOOD AND COMPARABLE TO A MINI JBL BUT SOMETIMES THE VOLUME DOESN’T SEEM LOUD ENOUGH.,2,3,6,1,5,4,"BOSE, JBL, SONY",2,5,3,4,3,3,1,5,ADDING SKIP BUTTONS TO IT ,LISTENING TO MUSIC,NEW SHOWER WAS TOO LOUD TO LISTEN TO MUSIC THROUGH MY PHONE,LESS THAN $50,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),PRICE DEPENDS ON THE BRAND,18-24,FEMALE,"LESS THAN $25,000",N/A,N/A
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,CAN HEAR MUSIC CLEARLY ,1,2,6,3,4,5,"BOSE, JBL",1,4,3,3,3,3,3,5,IF THE BATTERY WOULD LAST LONGER ,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",LOOK AT REVIEWS ,18-24,FEMALE,"$50,000-$75,000",NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),VERY POOR,"MY WIRELESS SPEAKER IS A BOOTLEG FROM FIVE BELOW, HAS THE WINDOWS STARTUP SOUND, AND GOES ABOUT AS LOUD AS A PHONE DOES.",1,2,6,5,4,3,UNKNOWN BRAND.,1,1,1,1,5,1,1,4,IF IT WAS LOUDER AND HAD BETTER AUDIO QUALITY.,LISTENING TO MUSIC,"USE IT FOR THE BEACH, BUT NOT OFTEN AS IT’S USUALLY THE LAST RESORT.",LESS THAN $50,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I WOULD NOT SPEND MORE THAN $50 ON A SPEAKER SINCE I RARELY USE THEM AND TYPICALLY RELY ON OTHERS TO HAVE ONE.,18-24,MALE,"$75,000-$100,000",THANKS!,Thanks!
YES,DAILY,GOOD,SOUNDS A LOT BETTER THAN MY IPHONE.,5,4,1,3,2,6,"BOSE, JBL, SONY",2,3,4,1,5,3,1,3,LONGER BATTERY LIFE AND LOUDER,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",BASED ON REVIEWS AND PRICE ,18-24,MALE,"MORE THAN $100,000",NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,MY SPEAKER IS PRETTY CHEAP BUT FOR THE PRICE IT WORKS WELL. ,2,6,3,4,5,1,I DON’T REMEMBER WHAT BRAND MINE IS ,1,2,2,2,4,4,3,5,MAYBE IF THE SOUND QUALITY WAS A LITTLE BETTER,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I TRY TO FIND A SPEAKER THAT IS THE CHEAPEST I CAN GET WITH THE BEST SOUND QUALITY ,18-24,FEMALE,"LESS THAN $25,000",THANKS! ,thanks! 
YES,SEVERAL TIMES A WEEK,EXCELLENT,I AM CURRENTLY USING A JBL SPEAKER. ITS BASS IS OUTSTANDING.,1,3,4,6,5,2,"JBL, SONY",3,2,4,4,5,3,1,5,I WISH THE BATTERY LIFE OF MY SPEAKER WAS LONGER.,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",SPENDING MORE TIME AT HOME,$50 TO $100,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I CONSIDER SEVERAL FACTORS: SOUND QUALITY AND BRAND REPUTATION.,18-24,MALE,PREFER NOT TO SAY,NO COMMENTS.,No comments.
YES,ONCE A WEEK,EXCELLENT,"IT’S GIVING CLEAR AND HIGH VOLUME SOUND, IT’S DURABLE BUT HEAVY",1,5,2,6,4,3,OONTZ,2,4,3,3,4,5,4,4,"MORE INTERESTING ADDITIONAL FEATURES, LIGHT WEIGHT, PORTABLE, UNIVERSAL","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS",NO,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","WHICH SPEAKER GIVES THE BETTER SOUND, WHICH DESIGN IS MORE CONVENIENT",18-24,FEMALE,"LESS THAN $25,000",.,.
YES,ONCE A WEEK,GOOD,8/10,1,2,4,6,3,5,JBL,1,5,5,5,4,3,2,4,LONGER BATTERY LIFE,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),I READ REVIEWS AND SEE IF THE PRODUCT IS WORTH THE MONEY.,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,SEVERAL TIMES A WEEK,AVERAGE,I LIKE THE DETAILS OF SONGS TO BE REALLY AUDIBLE.,6,4,3,2,5,1,JBL,3,4,2,5,3,4,2,4,TO HAVE MORE BASS.,"LISTENING TO MUSIC, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, HOME WORKOUTS",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THAT IS REASONABLE,18-24,FEMALE,"$50,000-$75,000","N/A
","N/A
"
YES,DAILY,EXCELLENT,GOOGLE HOME,1,2,6,3,4,5,"BOSE, JBL",1,3,5,5,5,5,5,5,NOTHING IS PERFECT ,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS","WORKING FROM HOME MORE, MORE ONLINE SOCIAL INTERACTIONS",- MORE THAN $300,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I DON’T THINK I’M RICH ,18-24,MALE,"MORE THAN $100,000",N/A,n/a
YES,SEVERAL TIMES A WEEK,GOOD,"IT IS GOOD, I WOULD PREFER IT TO BE LOUDER. I OWN A JBL SMALL SPEAKER. ",4,5,3,2,6,1,JBL,3,2,4,2,5,1,5,3,SOUND AND BASE OF BETTER QUALITY ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",$50 TO $100,3,BRAND WEBSITES,I WOULDN'T PAY MORE THAN 200$ FOR A SPEAKER BECAUSE I USE IT BUT NOT TOO MUCH TO SPEND TOO MUCH MONEY.,18-24,FEMALE,"$25,000-$50,000", I DON'T HAVE ADDITIONAL COMMENTS, I don't have additional comments
YES,DAILY,GOOD,SOUND IS VERY NEAT AND WHEN PLAYED AT HIGHER VOLUMES THE SOUND QUALITY ISN’T LOST,2,3,6,5,1,4,"BOSE, JBL",3,2,1,4,5,4,2,5,HIGHER VOLUME,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),FAIR FOR WHAT YOUR GET,18-24,MALE,PREFER NOT TO SAY,:),:)
YES,DAILY,GOOD,"
I WOULD LIKE IT TO SOUND A LITTLE LOUDER BUT IT DOES THE JOB.",6,5,3,2,4,1,"BOSE, SONY",3,3,3,4,5,5,5,4,BETTER SOUND QUALITY,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUALITY AND COST RATIO,25-34,FEMALE,"$25,000-$50,000",NO COMMENT,no comment
YES,ONCE A WEEK,AVERAGE,DULL TREBLE; MIDRANGE GETS MUDDLED OVER BASS (NO SEPARATION),1,2,5,3,4,6,"BOSE, JBL, SAMSUNG, MARSHALL, SONY, BANG AND OLUFSEN, KLIPSCH, SONOS, BOWERS & WILKINS, HARMAN KARDON",4,3,2,2,4,4,1,4,BETTER SOUND QUALITY,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), SPENDING MORE TIME AT THE BEACH",$100 TO $200,3,BRAND WEBSITES,I THINK ABOUT THE PERFORMANCE I GET RELATIVE TO THE PRICE I AM PAYING.,18-24,MALE,PREFER NOT TO SAY,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,GOOD ,3,6,5,2,1,4,JBL,3,5,5,5,5,5,5,1,BATTERY LIFE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",HIGH,18-24,FEMALE,PREFER NOT TO SAY,NO,No
YES,1-3 TIMES A MONTH,GOOD,THE BASS IS GOOD BUT CAN’T GO LOUD ENOUGH CONSIDERING ITS SIZE,2,3,5,6,4,1,SOUNDCORE,4,2,3,3,5,4,4,4,BETTER VOLUME AND INCREASED BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",QUALITY IN COMPARISON TO OTHER SIMILAR SPEC SYSTEMS FROM OTHER BRAND,18-24,FEMALE,PREFER NOT TO SAY,OFC!,ofc!
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,USING MY WIRELESS SPEAKER IS PART OF MY DAILY ROUTINE SINCE I LOVE PLAYING MUSIC WHILE I GET THINGS DONE AND IT WAS IMPORTANT FOR ME TO USE A SPEAKER THAT HAS AMAZING QUALITY.,1,5,4,2,3,6,"BOSE, JBL, SONY",2,2,4,3,5,5,2,5,WHAT WOULD MAKE IT BETTER IS THE RANGE.,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE",$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"I THINK ABOUT THE QUALITY, THE DURABILITY AND I THINK ABOUT HOW LONG IT WILL LAST ME.",18-24,FEMALE,"$25,000-$50,000",NO EXTRA COMMENTS,no extra comments
YES,1-3 TIMES A MONTH,AVERAGE,IT GETS WORSE OVER TIME AND WHEN THE VOLUME IS HIGH ,6,5,1,4,3,2,JBL,3,2,1,2,5,4,2,2,BETTER AUDIO QUALITY WHEN IT’S AT A HIGHER VOLUME ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),AUDIO QUALITY COMPARED TO PRICE ,18-24,MALE,PREFER NOT TO SAY,HAVE A WONDERFUL DAY ,Have a wonderful day 
YES,SEVERAL TIMES A WEEK,GOOD,IT’S KIND OF CHOPPY BUT IT IS NOT TOO BAD IT GETS THE JOB DONE,6,5,2,4,1,3,"BOSE, JBL, SAMSUNG, SONY",1,4,5,3,2,2,3,5,BETTER SOUND QUALITY ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,BRAND WEBSITES,I LIKE TO BUY QUALITY INSTRUMENTS,18-24,MALE,PREFER NOT TO SAY,NO EXTRA COMMENT ,No extra comment 
YES,RARELY (FEWER THAN ONCE A MONTH),AVERAGE,IT’S LOUD ENOUGH TO FILL A SMALL ROOM ,6,5,1,3,4,2,BOSE,2,2,3,3,3,1,1,3,LONGER BATTERY LIFE ,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE REPUTATION OF THE BRAND ,18-24,FEMALE,"$25,000-$50,000",NOPE ,Nope 
YES,SEVERAL TIMES A WEEK,AVERAGE,"SOUNDS LIKE THE AVERAGE WIRELESS SPEAKER, LOTS OF BASS AND IS PRETTY LOUD IN A LARGE AREA",6,1,3,5,4,2,"BOSE, JBL, ",2,5,5,5,2,2,3,4,LONGER BATTERY LFIE,"LISTENING TO MUSIC, GAMING","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$200 TO $300,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"WHAT IT OFFERS, PRICE TO PERFORMANCE, HOW IT’S EQUALIZED",18-24,MALE,PREFER NOT TO SAY,NONE,none
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,EXCELLENT,NIL,2,3,4,5,1,6,JBL,1,3,4,2,1,4,3,4,NIL,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, HOME WORKOUTS",LESS THAN $50,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IT SHOULD BE MADE AFFORDABLE FOR ALL BY REDUCING THE PRICE ,18-24,MALE,"$25,000-$50,000",NIL,Nil
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,I USE IT FOR DANCE PRACTICE.. IT’S PRETTY LOUD AND DOES ITS GOOD SO NO COMPLAINTS.,1,2,6,5,3,4,"BOSE, JBL, SONY",1,4,4,4,5,4,2,4,I THINK A LONGER BATTERY LIFE IS ALWAYS GOOD!,DANCE PRACTICES! ,JUST.. DANCE PRACTICES.,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",IF THE FEATURES AND QUALITY IS WORTH THE PRICE. I DO LOOK AT BATTERY LIFE AND SOUND QUALITY THE MOST.,18-24,FEMALE,"$75,000-$100,000",N/A,N/A
YES,DAILY,EXCELLENT,"WHEN RATING THE SOUND QUALITY OF A WIRELESS SPEAKER, I FOCUS ON SEVERAL KEY ASPECTS. FIRST, CLARITY IS CRUCIAL—WHETHER THE SPEAKER DELIVERS CRISP, DETAILED SOUND WITHOUT DISTORTION, EVEN AT HIGH VOLUMES. I PAY ATTENTION TO THE BALANCE BETWEEN BASS, MIDS, AND TREBLE; A GOOD SPEAKER SHOULD PRODUCE DEEP, PUNCHY BASS WHILE MAINTAINING CLEAR MIDS AND HIGHS FOR VOCALS AND INSTRUMENTS. ANOTHER IMPORTANT FACTOR IS THE STEREO SEPARATION AND WHETHER THE SPEAKER OFFERS A WIDE, IMMERSIVE SOUNDSTAGE OR FEELS FLAT AND NARROW. I ALSO EVALUATE THE VOLUME OUTPUT, ENSURING THE SPEAKER CAN GET LOUD ENOUGH WITHOUT LOSING SOUND FIDELITY, AND THE DISTORTION LEVELS, ESPECIALLY AT HIGHER VOLUMES. FINALLY, IF THE SPEAKER SUPPORTS EQ CUSTOMIZATION OR HAS SPECIFIC SOUND MODES, I CONSIDER HOW WELL THESE ADJUST THE SOUND TO DIFFERENT LISTENING PREFERENCES. A HIGH-QUALITY SPEAKER SHOULD EXCEL IN THESE AREAS, PROVIDING A RICH AND BALANCED AUDIO EXPERIENCE.",4,2,3,6,1,5,SAMSUNG,4,1,5,4,3,2,5,5,"TO MAKE MY WIRELESS SPEAKER BETTER, I’D LIKE TO SEE A FEW KEY IMPROVEMENTS. FIRST, ENHANCED BASS PERFORMANCE WOULD ADD MORE DEPTH, ESPECIALLY FOR LOW-FREQUENCY SOUNDS, WITHOUT OVERPOWERING THE MIDS AND HIGHS. LONGER BATTERY LIFE WOULD ALSO BE A GREAT UPGRADE, ALLOWING FOR EXTENDED USE WITHOUT FREQUENT RECHARGING. IMPROVED WATER AND DUST RESISTANCE WOULD MAKE IT MORE DURABLE FOR OUTDOOR USE, WHILE A BROADER BLUETOOTH RANGE WOULD OFFER MORE FLEXIBILITY IN MOVING AROUND WITHOUT LOSING CONNECTION. ADDITIONALLY, HAVING MULTI-DEVICE PAIRING WOULD MAKE IT EASIER TO SWITCH BETWEEN DIFFERENT AUDIO SOURCES WITHOUT DISCONNECTING AND RECONNECTING EACH TIME. FINALLY, INTEGRATING SMART ASSISTANT SUPPORT LIKE ALEXA OR GOOGLE ASSISTANT WOULD MAKE IT MORE VERSATILE FOR HANDS-FREE CONTROL AND ADDED FUNCTIONALITY. THESE ENHANCEMENTS WOULD ELEVATE THE OVERALL EXPERIENCE AND UTILITY OF THE SPEAKER.","LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","WHEN EVALUATING THE PRICE OF A WIRELESS SPEAKER, I’D CONSIDER A BALANCE BETWEEN SOUND QUALITY, BATTERY LIFE, AND PORTABILITY. HIGHER PRICES OFTEN REFLECT BETTER SOUND OUTPUT, LONGER BATTERY LIFE, AND MORE COMPACT OR DURABLE DESIGNS, ESPECIALLY FOR OUTDOOR USE. CONNECTIVITY FEATURES LIKE BLUETOOTH RANGE, MULTI-DEVICE PAIRING, OR VOICE ASSISTANT INTEGRATION CAN ALSO AFFECT THE COST. BRAND REPUTATION, SUCH AS BOSE OR JBL, MIGHT COME WITH A PREMIUM, BUT OFTEN ASSURES QUALITY AND SUPPORT. ADDITIONAL FEATURES LIKE WATERPROOFING OR EXTRA FUNCTIONALITIES MAY JUSTIFY A HIGHER PRICE, AND I’D ALSO THINK ABOUT LONG-TERM VALUE, CONSIDERING WHETHER SPENDING MORE UPFRONT WILL RESULT IN A SPEAKER THAT LASTS LONGER AND BETTER MEETS MY NEEDS.",18-24,FEMALE,"LESS THAN $25,000",NO,no
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,ON A RATE OF 5 I CAN GIVE IT A 4,1,2,4,3,5,6,JBL,1,3,1,4,5,3,2,3,INCREASE BATTERY LIFE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),BASED ON MY BUDGET ,25-34,MALE,"LESS THAN $25,000",THANK YOU ,Thank you 
YES,DAILY,EXCELLENT,I USE SMALL JBL AM STISFIED WITH THE AUDIO QUOLITY OF MY SPEAKER. IT DOES THE JOB DONE. ,6,5,1,4,2,3,JBL,3,5,5,4,4,2,1,5,"IT IS A SMALL SPEAKER SO IT'S UNDSERSTANDABLE, BUT I WISH IT GET'S A LITTLE LOUDER. ",LISTENING TO MUSIC,WORKING FROM HOME MORE,$50 TO $100,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),COMPARE WITH SIMMILER OPTIONS AVAILABLE IN THE MARKET,25-34,FEMALE,"$25,000-$50,000",NO EXTRA COMMENTS,No extra comments
YES,DAILY,EXCELLENT,GREAT WOOFER ,1,3,6,4,2,5,"BOSE, JBL",4,1,4,4,3,2,1,5,MORE BATTERY LIFE,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS",NO,- MORE THAN $300,1,BRAND WEBSITES,I THINK HOW MUCH TIME WILL I USE THE SPEAKER (A LOT) AND THEN BUY THE BEST ONE I CAN AFFORD.,25-34,MALE,"$25,000-$50,000",NO COMMENTS,NO comments
YES,ONCE A WEEK,AVERAGE,IT'S NOT AMAZING BUT IT'S DOES THE JOB IT'S AN OLD SPEAKER I GOT IN LIKE 2017,3,2,5,4,6,1,"JBL, SAMSUNG",3,4,3,3,5,2,2,3,IF IT SOUNDED BETTER,LISTENING TO MUSIC,BEING AT COLLEGE,LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I DON'T MIND SOUND QUALITY THAT MUCH AS LONG AS IT IS LOUD SO IF I'M OKAY WITH BUYING IT IF IT IS AROUND $10-$20,18-24,FEMALE,"MORE THAN $100,000",NO,no
YES,SEVERAL TIMES A WEEK,GOOD,THE SPEAKER DOES NOT REFLECT THE BASS CORRECTLY SOMETIMES (DEPENDING ON MUSIC) WHICH CAN BE BETTER HEARD WHEN USING HEADPHONES ,1,3,6,5,4,2,BOSE,4,3,4,5,3,2,1,4,THE SOUND QUALITY COULD BE BETTER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, HOME WORKOUTS",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I INVESTIGATE THE SPECS AND BASED ON THAT I THINK ABOUT THE PRICE AND SEE IF IT ACTUALLY WORTH THAT PRICE, IF NOT I LOOK FOR ANOTHER SPEAKER WITH SIMILAR SPECS BUT LOWER PRICE",18-24,MALE,"$25,000-$50,000",COOL SPEAKERS NEED TO HAVE GOOD QUALITY ,Cool speakers need to have good quality 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,"EXCELLENT SOUND FOR CALL CONFEEENCE , QUITE GOOD FOR MUSIC",5,4,6,2,1,3,BOSE,5,2,4,4,3,5,1,4,SMALLER SIZE AND BETTER BATTERY,"LISTENING TO MUSIC, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)",NO,$200 TO $300,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),NO COMMENTS ,55-64,MALE,"MORE THAN $100,000",NO COMMENTS ,No comments 
YES,SEVERAL TIMES A WEEK,GOOD,12W,1,2,4,3,5,6,"JBL, SAMSUNG, ITEL",5,5,4,4,4,3,2,4,LONGER BATTERY LIFE,"LISTENING TO MUSIC, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)",MORE ONLINE SOCIAL INTERACTIONS,$50 TO $100,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I ASK OTHER PEOPLE WHO USE THE BRAND,25-34,MALE,"$75,000-$100,000",THANKS. THE SURVEY WAS WELL PUT TOGETHER,Thanks. The survey was well put together
YES,DAILY,GOOD,ITS VERY GOOD,4,3,2,5,6,1,JBL,3,4,2,5,3,4,4,5,IF IT ALLOWS TO BE CONNECTED WITH 2 OR MORE DEVICES.,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, PODCASTS/AUDIOBOOKS, WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, WORKING FROM HOME MORE, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",LESS THAN $50,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",BATTERY LIFE,18-24,FEMALE,"LESS THAN $25,000",NOTHING,nothing
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
